zip,zcta,year_match,census_edition,state,is_area,is_self_mapped,is_post_office,info,min_match,max_match,year_matches,zcta_matches
01026,01026,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01027,01027,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01028,01028,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01029,01029,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01030,01030,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01031,01031,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01032,01032,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01033,01033,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01034,01034,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01035,01035,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01036,01036,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01037,01037,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01038,01038,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01039,01039,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01040,01040,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01041,01040,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01050,01050,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01053,01053,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01054,01054,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01056,01056,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01057,01057,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01059,01002,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01060,01060,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01061,01060,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01062,01062,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01063,01063,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01066,01066,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01068,01068,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01069,01069,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01070,01070,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01071,01071,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01072,01072,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01073,01073,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01074,01074,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01075,01075,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01077,01077,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01079,01079,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01080,01080,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01081,01081,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01082,01082,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01083,01083,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01084,01084,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01085,01085,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01086,01086,2021,ZCTA5CE20,MA,False,True,True,Zip matches ZCTA,2009,2021,13,1
01088,01088,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01089,01089,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01090,01089,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01092,01092,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01093,01093,2021,ZCTA5CE20,MA,False,True,True,Zip matches ZCTA,2009,2021,13,1
01094,01094,2021,ZCTA5CE20,MA,False,True,True,Zip matches ZCTA,2009,2021,13,1
01095,01095,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01096,01096,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01097,01097,2021,ZCTA5CE20,MA,False,True,True,Zip matches ZCTA,2009,2021,13,1
01098,01098,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01101,01104,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,2
01102,01104,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,2
01103,01103,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01104,01104,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01105,01105,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01106,01106,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01107,01107,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01108,01108,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01109,01109,2021,ZCTA5CE20,MA,True,True,False,Zip matches ZCTA,2009,2021,13,1
01111,01109,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
01115,01103,2021,ZCTA5CE20,MA,False,False,True,Spatial join to ZCTA,2009,2021,13,1
